trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
334,False,"{'a': 0.3, 'e': 0.03543695772159864}",30,6,27.20957485178931,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
335,False,"{'a': 0.3, 'e': 0.03508435410084502}",20,13,12.234090912440912,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.3, 'e': 0.03473525894473856}",20,13,15.399575983238195,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.3, 'e': 0.03438963734347271}",20,13,14.408510916461815,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.3, 'e': 0.034047454734599344}",30,20,16.80110241421622,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.3, 'e': 0.0337086768995724}",25,12,22.775802958906333,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.3, 'e': 0.03337326996032608}",35,19,30.64383066760564,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.3, 'e': 0.03304120037588693}",20,12,12.533557728716033,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.3, 'e': 0.03271243493901982}",20,6,20.56517249472692,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.3, 'e': 0.03238694077290704}",30,18,24.954936846766724,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.3, 'e': 0.032064685327860776}",30,13,33.91329419687525,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.3, 'e': 0.03174563637806794}",25,8,25.323856700766736,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.3, 'e': 0.03142976201836771}",25,8,28.16323805532103,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.3, 'e': 0.03111703066106086}",25,3,40.68641958371877,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.3, 'e': 0.03080741103275108}",35,26,19.366050802508962,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.3, 'e': 0.03050087217121748}",20,12,13.542169940674444,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.3, 'e': 0.030197383422318504}",20,14,11.866194510876623,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.3, 'e': 0.029896914436926308}",20,13,3.60057260278327,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
352,False,"{'a': 0.3, 'e': 0.029599435167891996}",20,13,12.967335706360126,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.3, 'e': 0.02930491586704075}",25,2,27.484220103980014,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
354,False,"{'a': 0.3, 'e': 0.029013327082197053}",20,7,23.2723555229385,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.3, 'e': 0.028724639654239423}",20,16,5.298932976078838,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
